,painting_id,year,title,width,height,area,blue_area,percentage_blue_area
120,b276,1937,Rythme de lignes droites,695,722,501790,33017.0,6.579844157914666
121,b277,1937,Composition de lignes et couleur: III,770,800,616000,6916.0,1.1227272727272728
122,b279,1937,"Composition with Yellow, Blue and Red",690,725,500250,4002.0,0.8
123,b280,1937,Composition no. 12,605,620,375100,3965.0,1.0570514529458812
124,b281,1937,Composition no. 7,622,805,500710,3969.0,0.7926744023486649
125,b283,1938,Place de la Concorde,944,940,887360,8729.0,0.9837044716913091
126,b284,1939,Composition no. 2,382,446,170372,2511.0,1.4738337285469445
127,b285,1938,Composition of red and white: I,991,1003,993973,1342.0,0.13501372773707135
128,b286,1939,Composition no. 5,650,750,487500,9159.0,1.8787692307692307
129,b287,1939,Composition no. 9,740,797,589780,0.0,0.0
130,b288,1939,Composition no. 10,730,795,580350,7824.0,1.3481519772551047
131,b292,1939,Composition no. 1,1023,1052,1076196,0.0,0.0
132,b293,1939,"Composition of red, blue and white: II",330,435,143550,2958.0,2.0606060606060606
133,b294,1939,Trafalgar Square,1200,1452,1742400,10974.0,0.6298209366391184
134,b295,1939,Composition no. 8,681,752,512112,1360.0,0.26556690723904147
135,b296,1940,Composition no. 11,711,825,586575,33485.0,5.708562417423177
